municipio,actividad_principal,codigo_ciiu,cargo_del_solicitante,clasificación_de_la_empresa,sector_económico
medellin,"agricultura, ganadería, caza y actividades de servicios conexas.",a.01.,asistente administrativa,mediana,"agricultura, caza, ganaderia, pesca y silvicultura"
medellin,construcción,f.,subgerente,pequeña,construccion
medellin,transporte y almacenamiento,h.,gerente,no dato,transporte y almacenamiento
medellin,otras actividades de servicios,s.,representante legal,pequeña,aseo
medellin,otras actividades de servicios,s.,representante legal,pequeña,servicios
medellin,actividades de la práctica odontológica.,q.86.862.8622,jefe gestion humana,mediana,otro
medellin,otras actividades de atención de la salud humana.,q.86.869.8699,aux gestion humana,pequeña,salud
medellin,comercio al por menor de otros productos en establecimientos especializados.,g.47.477.,auxiliar de nómina,pequeña,"comercio, hoteles y restaurantes"
medellin,otras actividades de servicio de apoyo a las empresas n.c.p.,n.82.829.8299,gerente,pequeña,transporte y almacenamiento
medellin,elaboración de productos alimenticios.,c.10.,propietario,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades de atención de la salud humana y de asistencia social,q.,directora,pequeña,"servicios comunales, sociales y personales"
medellin,comercio al por mayor de bebidas y tabaco.,g.46.463.4632,yolima quintero cardona,mediana,"comercio, hoteles y restaurantes"
bello,mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo.,c.33.331.,seleccion,pequeña,reparacion
sabaneta,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,gestion humana- contabilidad,grande,"comercio, hoteles y restaurantes"
medellin,fabricación de plásticos en formas primarias.,c.20.201.2013,asistente administrativo,pequeña,industria manufacturera
itagui,industrias básicas de hierro y de acero.,c.24.241.2410,directora,pequeña,metalurgia
envigado,comercio al por mayor especializado de otros productos.,g.46.466.,gerente,mediana,comercial
medellin,elaboración de productos alimenticios.,c.10.,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles.",g.47.478.4782,auditoria proveedores de servicios,pequeña,producción
medellin,mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo.,c.33.331.,directora de gestión humana,mediana,metalmecán
medellin,transporte y almacenamiento,h.,auxiliar administrativa,pequeña,transporte y almacenamiento
medellin,seguros de vida.,k.65.651.6512,directora de ventas,grande,intermediación financiera
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,contratista,mediana,construccion
medellín,"otras actividades de servicio financiero, excepto las de seguros y pensiones.",k.64.649.,ejecutiva comercial,mediana,intermediación financiera
medellin,otras actividades de asistencia social sin alojamiento.,q.88.889.,coordinadora administrativa,pequeña,"servicios comunales, sociales y personales"
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,jefe gestión humana,pequeña,"comercio, hoteles y restaurantes"
